keyword,count
Uhuru Kenyatta,1
George H. W. Bush,14
Moody Awori,1
Linus Kaikai,1
Philomena Mbete Mwilu,1
Mike Sonko,1
Kenya,1
Makueni County,1
Nairobi,1
NTV,1
Shadow of the Tomb Raider,4
Fortnite,5
Super Smash Bros. Ultimate,5
Brexit,8
Microsoft Edge,6
Microsoft Corporation,6
Ukraine,17
Russia,16
United Kingdom,6
Qualcomm Snapdragon,4
Dera Ghazi Khan,1
Pakistan,2
Malala Yousafzai,1
Harvard University,1
Imran Khan,1
"Kartarpur, Pakistan",1
Pakistan Cricket Board,1
Wasim Khan,1
Benazir Bhutto International Airport,1
India,3
Donald Trump,5
Toronto,1
Japan,10
Justin Trudeau,1
Saudi Arabia,1
Death of Sammy Yatim,1
School,3
Canada,1
Newfoundland and Labrador,1
Dylan Walker,1
Australia national cricket team,1
Manly Warringah Sea Eagles,1
India national cricket team,1
Queensland,1
Me Too movement,1
Bushfires in Australia,1
Dreamworld,1
Fonterra,1
Tauranga,1
Earthquake,1
2018 Men's Hockey World Cup,1
New Zealand,1
New Zealand national cricket team,1
Kane Williamson,1
Malaysia Digital Economy Corporation,2
Datuk Yasmin Mahmood,2
Liverpool F.C.,4
Singapore,2
Facebook,2
Malaysia,2
Noble Group,1
Yoshiji Tonoiwa,1
Bookshop,1
Saruo Setsuko,1
Otsuka Furniture,1
Technical intern training,1
Softbank Group,1
Water supply law,1
Japan Sumo Association,1
Softbank,1
Sweden Democrats,1
Yemen,1
Moderates,1
Stefan Löfven,1
The Christian Democrats,1
Sweden,2
Jimmie Åkesson,1
The Social Democrats,1
The Center Party,1
Annie Lööf,1
Hungarian scientific Academy,1
Viktor Orban,1
Semmelweis University,1
Fidesz - Hungarian Civic Alliance,1
Government of Hungary,1
Mercedes-Benz,1
László Palkovics,1
observer,1
Brussels,1
Ronald Lauder,1
Son Hak-gyu,1
Vietnamese national football team,1
The,1
Free korean,1
High Young,1
Park-Geun-Hye,1
Kim Moo-sung,1
ASEAN Football Championship,1
"Park, Byeong",1
Justice of the Republic of Korea,1
Lebanon,4
Iran,2
Cyprus,2
United State,3
Beirut,1
Chabahar,1
The United Arab Emirates,4
Carlos Ghosn,2
Pope Francis,2
Manchester United F.C.,4
Arsenal F.C.,4
Levica,1
Franc Kangler,1
Slovenia,1
Turkey,1
Boris Popovich,1
Prime Minister of the Republic of Slovenia,1
Celovška cesta,1
Nova Gorica,1
Karl Erjavec,1
Aleš Bržan,1
National Democratic Congress,1
Nana Akufo-Addo,1
Stonebwoy,1
Ghana,1
Shatta Wale,1
Sinohydro,1
Education minister,1
Ekwow Spio-Garbrah,1
Owusu Afriyie Akoto,1
Naftali Bennett,1
Ezra Sheinberg,1
Benjamin Netanyahu,1
Undercover soldiers,1
Institute for Intelligence and Special Functions,1
Hebrew University of Jerusalem,1
The Israel Defense Forces,1
Israel,2
UNIFIL,1
Human Rights Commission of Malaysia,1
1Malaysia Development Berhad,1
Hishammuddin Hussein,1
Angela Merkel,2
Stefanie Tücking,1
Study of medicine,1
EU exit from the United Kingdom,1
Center for Political Beauty,1
Christian Democratic Union of Germany,3
Friedrich Merz,2
Annegret Kramp-Karrenbauer,2
mafia,1
Chemnitz,1
