keyword,count
Cambodia,1
George H. W. Bush,9
Inflation,1
Rodrigo Duterte,2
Ninoy Aquino International Airport,1
Indonesia,2
Philippines,1
University Athletic Association of the Philippines,1
Ateneo Blue Eagles,1
Philippines men's national basketball team,1
Priyanka Chopra,9
Nick Jonas,9
Asad Umar,1
Nawaz Sharif,1
Jamal Khashoggi,12
Donald Trump,10
United States Senate,6
Portugal,2
China,4
Pakistan,1
Saint Kentigern College,1
Simon Bridges,1
Auckland,1
New Zealand National Party,1
Thunderstorm,1
Flood,1
Christchurch,1
Napier,1
New Zealand,1
South Island,1
Universities and University Colleges Act 1971,1
Rohingya people,1
Brexit,8
Siti Hasmah Mohamad Ali,1
Jho Low,2
Malaysia,2
Singapore,2
1Malaysia Development Berhad,2
Urban Meyer,1
Ohio State Buckeyes football,1
North Carolina,1
Wisconsin,1
Republican Party,1
Michael Avenatti,1
Albert Einstein,1
John Pesutto,1
Electoral district of Hawthorn,1
Victoria,1
Australia,1
Michael Cohen,2
France,12
Musitano crime family,1
Baby It's Cold Outside (duet with Michael Bublé),1
Emmanuel Macron,2
bomb,1
Friedrich Merz,1
Christian Democratic Union of Germany,1
German politican,1
EU exit from the United Kingdom,3
Center for Political Beauty,1
Russia,20
Chemnitz,1
United Kingdom,3
Andrej Babiš,1
Czechia,1
Morocco,3
Pilsen,1
Prague,1
Pussy Riot,1
Písnice,1
North Atlantic Alliance,1
HC Kometa Brno,1
Ichita Yamamoto,1
Carlos Ghosn,1
Japan Meteorological Agency Seismic Intensity Class,1
Korean recruitment during Japanese rule,1
Japan,1
Recitation,1
LDP,1
City of toyama,1
Shojiro Koizumi,1
Party for the Independence of the United Kingdom,1
Francis Heaulme,2
Nigel Farage,4
Ariane 5,2
Hezbollah,2
Luka Modrić,1
Israel,6
Lebanon,2
Strike,2
Bulgaria,1
Ivailo Moskovski,1
Supreme Judicial Council,1
Exit of the UK from the European Union,1
Sofia,1
NATO,3
Varna,1
Jens Stoltenberg,1
