keyword,count
Anwar Ibrahim,1
Federal Land Development Authority,1
Lynas,1
Malaysia,2
1Malaysia Development Berhad,2
Kukup Island,1
Qatar,2
Singapore,2
Asset,1
Najib Razak,1
Kamala Harris,1
Valérie Plante,1
Ontario Highway 407,1
George H. W. Bush,11
Avista,1
Philadelphia 76ers,1
Toronto Raptors,1
Jamal Khashoggi,8
Hydro One,1
Costa Rica,2
Aisha Buhari,1
Independent National Electoral Commission,1
Atiku Abubakar,1
Muhammadu Buhari,1
Diezani Alison-Madueke,1
Nigeria,4
Economic and Financial Crimes Commission,1
Boko Haram,3
People's Democratic Party,1
Australia national cricket team,5
Rodrigo Duterte,2
India national cricket team,4
Japan,13
United States Senate,2
Club Atlético Paranaense,1
Magno Malta,1
Ricardo Lewandowski,1
Chamber of Deputies of Brazil,1
Poverty,2
Jair Bolsonaro,3
More Doctors,1
Onyx Lorenzoni,1
Federal Court of Justice,1
South American Cup,2
Emma Husar,1
Brisbane Broncos,1
Ballarat,1
Victoria,1
Liberal Party of Australia (Victorian Division),1
Australian Labor Party,1
Matthew Lodge,1
Maguindanao,1
Baguio,1
"San Juan, Metro Manila",1
Philippines,1
Ateneo Blue Eagles,1
University Athletic Association of the Philippines,1
Gloria Macapagal Arroyo,1
Balangiga bells,1
Dublin,1
Central Bureau of Investigation,1
Chelsea F.C.,1
Alok Verma,1
Cambodia,1
Supreme Court,1
Belfast,2
Iran,3
Shehbaz Sharif,1
Yasir Shah,1
Pakistan,1
Navjot Singh Sidhu,1
Deepika Padukone,1
Afghanistan,1
Wicket,1
Nehe Milner-Skudder,1
America's Cup,1
Fonterra,1
Auckland,1
Brian Tamaki,1
New Zealand,2
Santa Claus,1
Yoshiji Tonoiwa,1
Bookshop,1
South Korea,1
Korean recruitment during Japanese rule,1
Juntendo University,1
Huawei,12
Recitation,1
Softbank Group,1
Water supply law,1
Cardi B,1
Offset,1
Eskom,1
Gulf Cooperation Council,1
Angela Merkel,4
Travel visa,1
United Kingdom,2
Global warming,1
Germany,2
School,2
Barack Obama,2
Beto O'Rourke,1
Scott Walker,1
Wisconsin,1
Illinois,1
Republican Party,1
George HW Bush,14
Tilburg,1
Carbon dioxide,1
Canada,4
Project X,1
&#39;Ndrangheta,1
Katwijk,1
President of the United States,2
United States,5
Manillaskolan,1
Yemen,1
Emmanuel Macron,2
France,4
E22,1
The Social Democrats,1
Liberals,1
Alexandria,1
Somalia,3
Donald Trump,4
Ministry of Supply and Internal Trade,1
Egyptian armed forces,1
Anwar Gargash,3
Air strike,3
Egypt,1
United nations,1
Chung Dong-young,1
Lee Young Ryeol,1
President of the Republic of Korea,1
Kim Jong-un,1
Seoul Metropolitan Office of Education,1
Emperor of Japan,1
High Young,1
Justice of the Republic of Korea,1
Seoul,1
"Park, Byeong",1
Vietnam national football team,1
MobiFone Telecommunications Corporation,1
Russia,8
4G,1
3G,1
Vietnam,1
Ukraine,2
Kien Giang,1
Slovakia,1
Pavol Russia,1
Facebook,1
Andrej Kiska,1
Vasil Biľak,1
USA,4
Freedom and Solidarity,1
Miroslav Lajčák,1
Peter Pellegrini,1
Tunnel Višňové,1
Social Democratic Party of Austria,1
Christian Democratic Union of Germany,2
European Union,1
Friedrich Merz,2
Lower Austria,1
Drasenhofen,1
Bruckneudorf,1
Annegret Kramp-Karrenbauer,1
Zhang Shouyi,2
Xi Jinping,1
North Water Transfer Project,1
Zhejiang Province,1
Preschool education,1
Luliang City,1
Shanxi Province,1
Shenzhen,1
Luohu district,1
Wenshui County,1
Metrobus,1
Justice and Development Party,1
Nationalist Movement Party,1
Tekirdag,1
Izmir,1
Tarsus,1
Muratli,1
Istanbul,1
Festival of Lights,1
Beaune,1
Grenoble,1
National Assembly,1
Lyon,1
Aude,1
Alain Suguenot,1
Police custody in French law,1
Indian Cricket Team,1
Central investigation bureau,1
Alok Kumar Verma,1
Punjab,1
Bhimrao ambedkar,1
Zakir Rashid Bhat,1
Supreme Court of India,1
Ayodhya,1
India,2
Claudia Sheinbaum,1
Naucalpan de Juárez,1
Monterrey Soccer Club,1
Cruz Azul Soccer Club,1
Joaquín Guzmán Loera,2
Carlos Manuel Urzúa Macías,1
Secretariat of Finance and Public Credit,1
Mexico City,1
Andrés Manuel López Obrador,1
Earthquake,3
Case of the Pack,1
Evo Morales,2
Hugo Chavez,2
Viña del Mar International Song Festival 2019,1
Venezuela,4
Araucania region,1
New Caledonia,1
Central European University,1
Mercedes-Benz,1
Miklós Kásler,1
Budapest,1
Hungary,1
Roller railway station,1
The United States Marine Corps,1
Zoltán Kovács,1
The New York Times,1
Moshe Edri,1
Haresha,1
Member of Knesset,1
Israel,1
Shaul Elovitch,1
Ministry of Finance,1
B&#39;Tselem,1
Mickey Zohar,1
Inspector General of the Israel Police,1
Ministry of Health,1
Google Allo,6
iPhone,5
Nokia,6
Apple,5
Fortnite,6
Qualcomm Snapdragon,6
iOS 12,5
Zimbabwe,3
Colombia,1
Cuba,1
Nicolás Maduro,3
Fidel Castro,1
Vladimir Putin,3
Polisario Front,1
Guayana Esequiba,1
Morocco,3
George Bush the Father,2
Syria,2
Lebanon,2
United State,2
Diameter,1
Young,1
Uhuru Kenyatta,1
Kenya Certificate of Primary Education,1
Kivutha Kibwana,1
Makueni County,1
Philomena Mbete Mwilu,2
Joseph Boinnet,1
Nairobi,1
Mike Sonko,1
Hassan Joho,1
Kenya,2
Zumi Zola,1
Bahar bin Smith,1
Prabowo Subianto,1
Candidates for civil servants,1
Airin Rachmi Diany,1
Electronic Identity Card,1
Joko Widodo,1
Sri Mulyani,1
Free Papua Organization,1
Plovdiv,1
Nikolay Banev,1
Nikolay the Miracleworker,1
Bulgaria,1
Black Sea,2
Sotir Tsatsarov,1
Andrej Babiš,1
The Stork Nest Case,1
Cyprus,1
YES 2011,1
Prague,1
STEM,1
block Chain,1
Marcel Koller,1
FC Basel,1
Switzerland,1
worry barometer,1
Karin Keller Sutter,1
Federal Council,1
HIV/AIDS,1
Unemployment benefit II,1
Hartz concept,1
Center for Political Beauty,1
Bavaria,1
German Weather Service,1
Klaus Iohannis,1
ACS Sepsi OSK Sfântu Gheorghe,1
FCSB,1
Liviu Dragnea,1
Kosovo,1
Romania,1
serbia,1
Chamber of Deputies of Romania,1
Tudorel Toader,1
Latvia,1
Riga Dinamo,1
In France,1
The Saeima,1
Pussy Riot,1
Riga,1
Saudi Arabia,4
KPV LV,1
13. Saeima elections,1
Sheikh Hasina,1
Khaleda Zia,1
US federal,1
Jessore-4,1
Bangladesh,1
Bangladesh Workers Party of Bangladesh,1
Bangladesh Awami League,1
Bangladesh Nationalist Party,1
Sherpur-1,1
Paolo Rocca,1
Emilio Monzó,1
Chamber of Deputies of the Argentine Nation,1
Elisa Carrió,1
