keyword,count
Super Smash Bros. Ultimate,5
Angela Merkel,34
The Avengers,12
Vivo Nex,4
Samsung Galaxy,4
Hamas,10
Untitled Avengers film,11
Meteor shower,6
Samsung Group,4
Avengers: Infinity War,17
Arsenal F.C.,1
Manchester United F.C.,7
Donald Trump,19
Kevin Hart,4
I'm a Celebrity...Get Me Out of Here! (UK TV series),1
Heather Nauert,9
Vaccine,1
HPV vaccine,1
José Mourinho,7
Academy Awards,3
Edgar Lungu,1
South Sudan,1
Rwanda,1
Shatta Wale,1
Diane Rwigara,1
Zambia,1
Vladimir Putin,2
Mahathir Bin Mohamad,1
Brexit,3
Rohingya people,1
Singapore,2
Malaysia,2
Myanmar,1
Accident,1
College Scholastic Ability Test,1
Woo Sung Woo,1
Son Hak-gyu,1
President of the Republic of Korea,1
Kim Kyung Su,1
"In addition,",1
High Young,1
"Park, Byeong",1
Korean Army Security Command,1
Kim Jong-un,1
Ontario Highway 401,1
John F. Kelly,3
William P. Barr,4
Orbán Ráhel,1
Hungary,1
Christian Democratic Union,9
Imre Nagy,1
Budapest,1
István Tiborcz,1
Veszprém,1
Germany,4
Vienna,1
Vasil Levski,1
Nikolay Banev,1
Bulgarian Socialist Party,1
Bulgarian Christmas,1
Alexis Tsipras,2
Rumen Radev,1
Bulgaria,1
Boyko Borisov,1
Pakistan national cricket team,1
Yemen,2
Inter-Services Intelligence,1
Syria,1
Mohammad Amir,1
Pakistan,1
United States Ambassador to the United Nations,2
Rodrigo Duterte,1
Bong Revilla,1
Antonio Trillanes,1
Judicial and Bar Council,1
Philippines,1
Philippine Nurse Licensure Examination,1
Philippine Basketball Association,1
Magnolia Hotshots,1
Gloria Macapagal Arroyo,1
Davao,1
Muhammadu Buhari,1
Nigeria,1
Atiku Abubakar,1
Ekiti State,1
Chelsea F.C.,1
Mount Maunganui,1
New Zealand National Party,1
School,1
China,2
New Zealand,1
Paragliding,1
Associated Press,1
Grammar school,1
Kaizer Chiefs F.C.,1
Giovanni Solinas,1
Zimbabwe,1
South African Broadcasting Corporation,2
Eskom,1
Wage,1
Emmerson Mnangagwa,1
Cyril Ramaphosa,1
Geminids,3
Meteoroid,3
Michael Flynn,1
Attack on Pearl Harbor,1
Grammy Awards,1
North Korea,2
Carlos Ghosn,1
Tommy Robinson,1
Brain-eating amoeba,1
Shmuel Plato-Sharon,1
Sarah Netanyahu,1
Aryeh Deri,1
Israel,2
Haifa,1
Haifa municipality,1
Eastern Province,1
Tenth of Ramadan,1
Egypt,1
Sharm El-Shaikh,1
Orthodox,1
National Food Safety Authority,1
Khaled Fouda,1
South of Sinaa,1
Cairo,1
Democratic Republic of the Congo,1
Bangladesh Chhatra League,1
Bangladesh Awami League,1
Shah Ams Kibria,1
Bangladesh Nationalist Party,1
Jafarullah Chowdhury,1
Khaleda Zia,1
Ganobhaban,1
Habiganj-1,1
Imran Mahmudul,1
Sheikh Hasina,1
Andrej Babiš,1
Czechia,1
Miloš Zeman,1
Brazil,1
Příbram,1
Christian-Democratic Union,3
Security Information Service,1
Care allowance,1
Petra Procházková,1
Thailand,1
amphetamine,1
National Peace Corps,1
Seri Pitsuya,1
Prayer,1
Lampang,1
Birth,1
Saraphi,1
Addictive substance,1
Chaiyaphum Province,1
Esther Passaris,1
Mike Sonko,1
Uhuru Kenyatta,2
Raila Odinga,1
Diamond Platnumz,1
Kenya Pipeline Company,1
Philomena Mbete Mwilu,1
Kenya,1
Luis Moreno Ocampo,1
Nairobi,1
Borut Pahor,1
Slovenia,1
United States,1
Aleš Bržan,1
Boris Popovich,1
Lockheed Martin F-16 Fighting Falcon,1
Ljubljana,1
European refugee crisis,1
Chad,1
Morocco,1
General Confederation of Enterprises of Morocco,1
Cable News Network,1
Katowice Conference of 2018 on Climate Change,1
Western Sahara,1
la France,1
Human migration,1
G5 Sahel,1
Mauritania,1
Lech Walesa,1
Andrzej Duda,1
Jaroslaw Kaczynski,1
Janusz Palikot,1
Great Orchestra of Christmas Charity,1
Polish Financial Supervision Authority,1
Law and Justice,1
Poland,1
Walid Jumblatt,1
Saad Hariri,1
Hermel,1
Lebanon,1
Hizb allah,1
United State,3
Michel Aoun,1
Rafic Hariri,1
Emad,1
Kekava county,1
Latvia,1
Riga,1
The Saeima,1
Latvian basketball team,1
Estonia,1
KPV LV,1
Sweden,2
National Association &quot;For All Latvia!&quot; - &quot;Fatherland and Freedom / LNNK&quot;,1
Latvian State Police,1
Andrej Kiska,1
Slovakia,1
National Criminal Agency Presidium of the Police Corps,1
Bratislava,1
Peter Kažimír,1
The Christian-Democratic Union of Germany,1
Miroslav Lajčák,1
Pavol Russia,1
Matus Vallo,1
National Bank of Slovakia,1
Yoshiji Tonoiwa,1
Bookshop,1
Nissan Motor,1
Immigration Control and Refugee Recognition Act,1
USA,2
Huawei,2
South Korea,1
Korean recruitment during Japanese rule,1
Glory seminar,1
Niu Chengze,1
Zhang Guofan,1
Luodong Night Market,1
Ke Wenzhe,1
Lin Jialong,1
Zheng Chuanyi,1
Datong electric cooker,1
The selection of the president of the National Taiwan University in 2018,1
Lu Xiuyan,1
Xingyu Airlines,1
Nitin Gadkari,1
Lord Shri Hanumanji,1
Bharatiya Janata Party,1
Rajasthan,1
The caste,1
Bulandshahr,1
India,1
Punjab,1
Varanasi,1
Amit Shah,1
Saudi,1
Gaza strip,1
Ala,1
Jamal Khashoggi,1
"Morocco, West, sunset",2
the American Congress,1
Turkey,2
Pope Francis,1
Sergey Lavrov,1
Russia,4
The United Arab Emirates,1
United nations,1
Aleksandar Vucic,1
Republic of Kosovo,1
Serbia,1
Logar Jasenovac,1
Kragujevac,1
White City,1
Aleksis Cipras,1
Christian Democratic Union of Germany,5
Taliban,2
Afghanistan,2
Luis Almagro,2
Superintendency of the Institutions of the Banking Sector of Venezuela,1
Nicolás Maduro,2
Hugo Chavez,3
Avengers: the war of infinity - 2nd part,6
Organization of Petroleum Exporting Countries,1
Venezuela,1
Animal Kingdom,1
Frenkie de Jong,1
Feyenoord,1
Christlich Demokratische Union Deutschlands,1
Annegret Kramp-Karrenbauer,5
AFC Ajax,1
VVV Venlo,1
Chemical castration,1
Chiapas,1
Mario Martín Delgado Carrillo,1
Chamber of Deputies,1
Brunette,1
Cuba,1
Jair Bolsonaro,2
Central Electoral Board,1
Evo Morales,1
Primary election,1
Arsenal Football Club,2
LATAM Airlines,3
CNN,1
Strike,4
Ramzan Akhmatovich Kadyrov,1
Alexey Anatolyevich Navalny,1
Roskomnadzor,1
Organization of countries - exporters of oil,1
Vladimir Vladimirovich Putin,1
Lithuania,3
Czech,1
Club Atlético Rosario Central,1
River Plate Athletic Club,1
Argentina Soccer Cup,1
Greenland,1
Gymnastics and Fencing Club La Plata,1
Patricia Bullrich,1
Nordahl Lelandais,2
Daval case,2
Mulhouse,1
cyberattack,1
Finistère,1
Removal of Maëlys from Araujo,2
Work force,1
Mantes la Jolie,1
Europe Park,1
Stefan Luitz,2
