keyword,count
George H. W. Bush,12
Barack Obama,1
Alexandria Ocasio-Cortez,1
Jamal Khashoggi,3
North Carolina,1
Beto O'Rourke,1
Japan,13
Illinois,1
Republican Party,1
Scott Walker,1
Tauranga,1
Auckland,1
Whangarei,1
Brian Tamaki,1
New Zealand,2
Trevor Mallard,1
New Zealand National Party,1
Climate change,1
United Kingdom,3
Emma Husar,1
Australia national cricket team,2
India national cricket team,1
Ballarat,1
Victoria,1
Liberal Party of Australia (Victorian Division),1
Australian Labor Party,1
Michael O'Brien,1
Rodrigo Duterte,3
Baguio,1
Antonio Trillanes,1
Philippine Drug War,1
Abu Sayyaf,1
Gloria Macapagal Arroyo,1
Department of Justice,1
Sulu,1
Brexit,5
1Malaysia Development Berhad,2
Malaysia,2
Singapore,2
Luxembourg,4
Philippines,2
France,2
Iran,10
Toronto Raptors,1
Philadelphia 76ers,1
Qualcomm Snapdragon,7
TV4,1
Manillaskolan,1
Yemen,1
Angela Merkel,2
Andreas Odén,1
Germany,2
Sweden,1
The Social Democrats,1
Liberals,1
CDU,1
Priyanka Chopra,1
Savitri Bai Phule,2
Bharatiya Janata Party,2
Yasir Shah,1
Shehbaz Sharif,1
Afghanistan,1
Nick Jonas,1
Wicket,1
United States,2
Celovška cesta,1
University Clinical Center Ljubljana,1
Boris Popovich,1
Slovenia,1
Ljubljana,1
Pliberk,1
Senate of the United States of America,1
"Coast, Brežice",1
Ben Sasse,1
Lee Young Ryeol,1
Chung Dong-young,1
Favorable,1
Park Ji Won,1
President of the Republic of Korea,1
Kim Jong-un,1
High Young,1
Seoul,1
Justice of the Republic of Korea,1
Park-Geun-Hye,1
Andrej Babiš,1
Tehran,1
Prague,1
Morocco,2
Road and Motorway Directorate of the Czech Republic,1
Highway D3,1
Czechia,1
USA,5
Chamber of Deputies of the Parliament of the Czech Republic,1
Google Allo,6
Fortnite,6
Kenya Airways,1
Israel,8
Lebanon,7
Nigeria,4
Ethiopia,2
Ethiopian Airlines,1
Bjørnar Moxnes,1
SIV Jensen,1
Jonas Gahr Støre,1
The city railroad in Bergen,1
Trine Skei Grande,1
Abid Raja,1
Norwegian Air Shuttle,1
Joaquín Guzmán Loera,2
red,1
Left,1
Iwagumi Hisashi,1
Yoshiji Tonoiwa,1
Bookshop,1
Juntendo University,1
Yomiuri Giants,1
Softbank Group,1
Seattle · Mariners,1
Water supply law,1
Ministry of Justice,1
Moshe Edri,1
Haresha,1
Shaul Elovitch,1
Hebrew University of Jerusalem,1
Mate Binyamin Regional Council,1
Benjamin Netanyahu,1
Inspector General of the Israel Police,1
Prime Minister of Lebanon,1
Earthquake,3
North Korea,1
Jair Bolsonaro,3
Hugo Chavez,3
Evo Morales,2
Emmanuel Macron,1
Viña del Mar International Song Festival 2019,1
Venezuela,3
Chile,1
Bolivia,1
Yogi Adityanath,1
Navjot Singh Sidhu,1
Central investigation bureau,1
Indian Cricket Team,1
Madhuri Dixit,1
Alok Kumar Verma,1
Ayodhya,1
Word of the year,1
Donald Trump,4
Rudolph Giuliani,1
Switzerland,1
Serbia,2
Kosovo,1
Hilton hotels,1
United Nations,1
Karin Keller Sutter,1
worry barometer,1
Central European University,1
Gergely Gulyás,1
Garancsi István,1
Hando Tünde,1
Paks,1
Hungary,1
Budapest,1
Süli János,1
Zoltán Kovács,1
The New York Times,1
Manis,4
Asante Kotoko S.C.,1
Christabel Ekeh,1
Nana Akufo-Addo,1
John Mahama,1
Child marriage,1
Philomena Mbete Mwilu,2
Ghana,1
Owusu Afriyie Akoto,1
International Allies F.C.,1
HIV/AIDS,1
OPEC,4
Petroleum,4
Nokia,3
Expropriation,1
Insurance,1
Chelsea F.C.,2
Belfast,2
Wolverhampton Wanderers F.C.,2
School,3
Theresa May,2
Deutsche Annington Immobilien Gruppe,1
Unemployment benefit II,1
Hartz concept,1
George HW Bush,9
Christian Democratic Union of Germany,2
German Weather Service,1
Center for Political Beauty,1
Friedrich Merz,2
Burkina Faso,1
Anambra State,1
Diezani Alison-Madueke,1
Economic and Financial Crimes Commission,1
Willie Obiano,1
Blaise Compaoré,1
Xiaomi,1
Anwar Ibrahim,1
Port of Penang,1
Lynas,1
Mahathir Bin Mohamad,1
Fatwa,1
Najib Razak,1
Steinhoff International,1
South Africa national cricket team,1
Johann Rupert,1
Pakistan national cricket team,1
Cricket,1
Batsman,1
Eskom,1
Esther Passaris,2
India,1
Boko Haram,1
O2,1
Travel visa,1
Nikolay the Miracleworker,1
Sofia,1
Black Sea,2
Haskovo,1
Thrace,1
Shumen,1
Bulgaria,1
Yordanka Fandakova,1
Paolo Rocca,1
Emilio Monzó,1
Poverty,2
Chamber of Deputies of the Argentine Nation,1
Club Atlético Boca Juniors,1
Elisa Carrió,1
River Plate Athletic Club,1
Argentina,1
Patricia Bullrich,1
Traian Basescu,1
Klaus Iohannis,1
ACS Sepsi OSK Sfântu Gheorghe,1
FCSB,1
Lia Olguţa Vasilescu,1
