keyword,count
Malaysia national football team,3
Perbadanan Tabung Pendidikan Tinggi Nasional,1
Mandarin Orchard Singapore,1
Muhammad Shafee Abdullah,1
Brexit,10
George H. W. Bush,12
Malaysia,2
1Malaysia Development Berhad,1
Singapore,2
Thailand national football team,2
Cardi B,8
Priyanka Chopra,7
Offset,8
Albert Einstein,7
Earthquake,14
Nick Jonas,7
Facebook,8
Fortnite,4
Organ transplantation,3
North Korea,6
OPEC,2
India,2
Ukraine,5
Quiin Abenakyo,1
Russia,20
France,9
Johann Rupert,2
Zimbabwe,1
Strike action,2
Vladimir Putin,2
Saad Hariri,1
Lebanese army,1
Kuwait,4
Progressive Socialist Party,1
Avijaa Adraei,1
United State,2
Lebanon,3
Hizb allah,1
Israel,5
Yoshiji Tonoiwa,1
Dynamite · Kid,1
Saudi Arabia,4
Fukuoka Tower,1
Hog cholera,1
Fukuoka City,1
Osaka capital concept,1
Referendum,1
Ichiro Matsui,1
Satoshi Sayama,1
National Democratic Congress,1
Ghana,1
Shatta Wale,1
Nana Akufo-Addo,1
Togo,1
Alban Bagbin,1
Maritime boundary,1
Charlotte Osei,1
Federal President,1
Ueli bricklayer,1
Jamal Khashoggi,7
Bulgaria,2
Robert Mueller,2
Senate of the United States,1
uterus,3
Michael T. Flynn,2
Donald Trump,13
Emmanuel Macron,2
Latvia,1
Riga,1
Latvian State Police,1
Riga City Council,1
State Audit Office of the Republic of Latvia,1
KPV LV,1
Elita Krumina,1
Adazi,1
Philippines,1
Panglao Island,1
Child custody,1
Chief of Staff of the Armed Forces of the Philippines,1
Rodrigo Duterte,2
Ateneo Blue Eagles,1
"El Nido, Palawan",1
University Athletic Association of the Philippines,1
Gloria Macapagal Arroyo,1
Michael Flynn,4
Jho Low,1
National Institute of Open Schooling,1
Vijay Mallya,1
Alok Kumar Verma,1
Central investigation bureau,1
Indian national congress,1
Narendra Modi,1
Bangalore,1
Teashvi Yadav,1
"Catherine, Duchess of Cambridge",2
Manchester United F.C.,2
Central Bureau of Investigation,1
Stakeknife,2
Freddie Scappaticci,2
Alok Verma,1
Supreme Court,1
Grandmother,1
Venezuela,2
Huthion,1
Khalid bin Salman bin Abdulaziz Al Saud,1
Saudi,2
The Qunfudah,1
Turkey,2
Obaidul Quader,1
Kamal Hossain,1
US federal,1
Bangladesh,1
Mainul Hossain,1
Bangladesh Awami League,1
Bangladesh Election Commission,1
Bangladesh Nationalist Party,1
Dhaka-9,1
Plovdiv,1
Yulen,1
Vitinya,1
