keyword,count
Perbadanan Tabung Pendidikan Tinggi Nasional,1
Lim Guan Eng,1
Kukup Island,1
Malaysia,4
Siti Hasmah Mohamad Ali,1
Hishammuddin Hussein,1
Singapore,2
Sivarraajh Chandran,1
Yemen,1
Malaysian Islamic Party,1
Cardi B,6
Priyanka Chopra,6
Offset,6
Albert Einstein,10
Earthquake,18
Nick Jonas,6
Fortnite,4
OPEC,6
Ukraine,8
5G,5
Vladimir Putin,1
Egypt,1
United State,2
Africa,2
Jordan,1
Syria,3
Syrian Civil Defense,1
Mahmoud Al-Zahar,1
Hizb allah,1
Israel,3
Ateneo de Manila University,1
Dengvaxia controversy,1
Chief of Staff of the Armed Forces of the Philippines,1
Land Transportation Franchising and Regulatory Board,1
Rodrigo Duterte,1
Ateneo Blue Eagles,1
"Sagay, Negros Occidental",1
University Athletic Association of the Philippines,1
"Talaingod, Davao del Norte",1
Philippines,1
Global Citizen Festival,2
Andrej Babiš,1
Jiří Paroubek,1
Chamber of Deputies of the Parliament of the Czech Republic,1
Morocco,2
Czechia,1
STEM,1
Prague,1
YES 2011,1
New Caledonia,10
Iceberg,1
Ralph Hasenhüttl,2
Angela Merkel,1
Vienna,1
Kevin Wimmer,1
uterus,3
Federal Office for the Protection of the Constitution and Counter-Terrorism,1
Hannover 96,1
Russia,16
Southampton,2
Forbes,2
Singapore Civil Defence Force,1
Mandarin Orchard Singapore,1
Brexit,11
George H. W. Bush,10
1Malaysia Development Berhad,1
France,4
Jho Low,1
KiwiBuild,1
Kapa haka,1
Michael Flynn,4
New Zealand,2
Robert Mueller,5
United Kingdom,3
Special Counsel investigation,2
St. James Seminary Senior High School,1
National Democratic Congress,1
Shatta Wale,1
Ghana,1
Secondary school,1
Strike action,1
Tourism,1
Nana Akufo-Addo,1
Ada Foah,1
Bank of Canada,1
Jamal Khashoggi,5
India,2
United States Senate,2
Ada Hegerberg,2
Trine Skei Grande,1
Abid Raja,1
Ski,1
Erna Solberg,1
Parliament,1
Left,1
Abdullah Alsabeehg,1
Directorate for Civil Protection and Emergency,1
Norway&#39;s Prime Minister,1
Australia national cricket team,1
India national cricket team,1
Lightning Ridge,1
Theresa May,1
Cricket,1
Dinosaur,1
Pakistan,1
Sin tax,1
Lahore High Court,1
Gullu Butt,1
Imran Khan,1
Bill Gates,1
Asad Umar,1
Muhammad Tahir-ul-Qadri,1
Khawaja Saad Rafique,1
Afghanistan,2
Central bank,2
Quiin Abenakyo,1
Julius Malema,1
Eskom,1
Cape Town,1
Denel SOC Ltd,1
David Makhura,1
Supra Mahumapelo,1
Economic Freedom Fighters,1
African National Congress,1
Manchester United F.C.,3
Dublin,1
Stakeknife,1
Freddie Scappaticci,1
José Mourinho,2
Garda Síochána,1
United Arab Emirates,1
Donald Trump,6
Republican Party,1
Subpoena,1
Jair Bolsonaro,2
Denmark,1
María Alejandra Vicuña,1
Andrés Manuel López Obrador,1
North Korea,1
Terrorism,1
Alan García,1
Vice president,1
Gender Violence Alert Against Women,1
Manillaskolan,1
Moderate youth federation,1
Stefan Löfven,1
The Social Democrats,1
Michael T. Flynn,2
The Center Party,1
Sweden,1
USA,6
Mordechai Alon,1
Benjamin Netanyahu,1
Price per occupant,1
Reuven Rivlin,1
Israel Tax Authority,1
Hezbollah,1
Moshe Edri,1
Eliezer Goldberg,1
Director of Public Prosecutions,1
Philip Murgor,1
Omar al-Bashir,1
Sudan,1
Kenya Revenue Authority,1
Kenya,1
Eldoret,1
Mike Sonko,1
Nairobi,1
Byun Hee Jae,1
Free korean,1
Park-Geun-Hye,1
Kim Moo-sung,1
Jodusun case,1
Hae Tae Kyung,1
President of the Republic of Korea,1
Mong-inin Son employment information recruitment preference suspicion and controversy,1
2019 College Scholastic Ability Test,1
Jeju Special Self-Governing Province,1
Mirza Fakhrul Islam Alamgir,1
Saudi Arabia,5
US federal,1
Bangladesh Nationalist Party,1
Mainul Hossain,1
Bangladesh,1
Bangladesh Election Commission,1
Ministry of Education,1
US senators,1
Dhaka-9,1
Riga,1
Latvia,1
airBaltic,1
Riga City Council,1
Latvian State Police,1
KPV LV,1
United States,1
Adazi,1
Airbus A220,1
Yoshiji Tonoiwa,1
Yoshiharu Hanyu,1
Battle of Dragon,1
Fukuoka Tower,1
Hog cholera,1
LDP,1
Fukuoka City,1
Discussion on constitutional amendment,1
Diet,1
South Korea,1
Lithuanian National Olympic Committee,1
Kaunas,1
Lithuania,1
Saulius Skvernelis,1
Dalia Grybauskaite,1
Liana Ruokytė Jonsson,1
Eimantas Skrabulis,1
Bulgaria,1
Ivailo Moskovski,1
Pazardzhik,1
Sotir Tsatsarov,1
European Bank for Reconstruction and Development,1
Sofia,1
Financial Supervision Commission of the Republic of Bulgaria,1
Tsarigradsko Shosse,1
Nigel Farage,1
UBS,1
UK Independence Party,1
Germany,1
tsunami,3
United Nations,2
Party for Thailand,1
Suthep Thaugsuban,1
Thailand,1
Prayer,1
His Majesty King Bhumibol Adulyadej,1
Thai People Power Party,1
Ranong,1
Father&#39;s Day,1
National Peace Corps,1
Salvation,1
George Clooney,1
Organization of the Islamic State,2
Saudi,2
United nations,1
United Arab Emirates Economy,1
Prince of Qatar,1
The Kremlin,1
Transplantation of uterus,2
Shivraj Singh Chauhan,1
Alok Kumar Verma,1
Central investigation bureau,1
Rahul Gandhi,1
Bangalore,1
Teashvi Yadav,1
Bulandshahr,1
Nitish Kumar,1
Indian institute of science,1
Mahmoud Trezeguet,1
Alexandria,1
Mohamed Salah,1
Kassem Pasha Club,1
yourgen club,1
Mohammad Badee&#39;a,1
Members of the Muslim Brotherhood Guidance Office,1
Attorney general,1
Mohammed,1
Luigi Di Maio,1
Giorgia Meloni,1
Matteo Salvini,1
&#39;Ndrangheta,2
Armando Spataro,1
Oliviero Toscani,1
Foggia,1
seaquake,1
Geert Wilders,1
Rijssen,1
Charles Michel,1
Schiedam,1
European Union,1
Nigeria women's national football team,1
Toyin Aimakhu,1
Academic Staff Union of Universities,1
Adeniji Johnson,1
Small Doctor,1
Diezani Alison-Madueke,1
Atiku Abubakar,1
Muhammadu Buhari,1
Italy,1
Human Rights Watch,1
Ifrane,1
Trolley,1
Accident,1
Casablanca,1
Emir of Qatar,1
Slovakia,3
Igor Tuleya,1
Modern,1
Henryk Jankowski,1
Tadeusz Rydzyk,1
The 500 plus family,1
Ministry of national defence,1
Lech Walesa,1
Ye Liu Shuyi,1
earthquake,1
Let love and peace occupy Central,1
Chen Rijun,1
Shatin to Central Link,1
Independent monitoring police handling complaints committee,1
Hong Kong,1
Lin Zhengyue,1
MTR,1
Thailand national football team,1
Vietnam,1
Malaysia national football team,1
Hanoi,1
Phan Anh Minh,1
Southeast Asian Football Championship 2018,1
Kien Giang,1
Ho Chi Minh City,1
Dong Nai,1
Puerto Tejada,1
Gustavo Petro,1
George HW Bush,1
Joaquín Guzmán Loera,2
Club Atlético Boca Juniors,2
Nicolás Maduro,3
Juan Carlos Ramírez Abadía,2
River Plate Athletic Club,2
Venezuela,2
Odebrecht case,1
Sebastián Piñera,1
The Legua,1
Case of the Pack,1
Osorno,1
police from Chile,1
Slovenia,1
Koper,1
Andrej Fištravec,1
Ljubljana,1
Boris Popovich,1
Aleš Bržan,1
Slovenian Environment Agency,1
Slovenian Democratic Party,1
Jani Möderndorfer,1
Central European University,1
Budapest,1
Democratic Union Party,1
István Tarlós,1
Brexin,1
Northern Ireland,1
Gross domestic product,1
Bence Rétvári,1
Dialogue with Hungary,1
Feró Nagy,1
Gisella Anastasia,1
Gading Marten,1
Sandiaga Uno,1
Anies Baswedan,1
House of Representative of Indonesia Republic,1
Fadli Zon,1
"Sukamiskin, Arcamanik, Bandung",1
Semarang,1
"Mangkang Zoo, Semarang",1
Tiger,1
Guayana city,1
Evo Morales,1
God given hair,1
Passport,1
Bolivia,1
Costa Rica,1
Zhejiang Province,1
Beijing,1
volunteer,1
Portugal,2
Xi Jinping,2
Xi&#39;an City,1
People&#39;s Republic,1
Shunyi District,1
General college entrance examination national unified examination,1
China Railway Customer Service Center,1
Mexican Social Security Institute,1
Yamal Jashogyi,1
Germán Martínez Cázares,1
Miguel Treviño Morales,1
Guadalajara,1
Vladimir Vladimirovich Putin,1
Petr Poroshenko Alekseevich,1
Valentina Petrenko,1
Lev Alexandrovich Ponomarev,1
Council of the Federation,1
Moscow,1
Dmitry Anatolyevich Medvedev,1
Belgium,1
Wallonia,1
Reform movement,1
Viktor Yanukovych,1
Volodymyr Volodymyrovych Putin,1
International airport &quot;Kyiv&quot;,1
Petro Poroshenko,1
State Administration of Railway Transport of Ukraine,1
Hungary,1
Muzenko Viktor Nikolaevich,1
Ukrainian Orthodox Church (Moscow Patriarchate),1
Luiz Inácio Lula da Silva,1
Higher Electoral Court,1
More Doctors,1
Poverty,2
Uterus,2
Emmanuel Macron,1
Organ Transplantation,2
Onyx Lorenzoni,1
Federal Court of Justice,1
New Democracy,1
Alexis Tsipras,1
Ministry of Finance,1
Kavala,1
Coalition of the Radical Left,1
Agrinio,1
Kalymnos,1
Rhodes,1
Thessaloniki,1
Milorad Dodik,1
Serbia,1
White City,1
First Serbian Television,1
O2 television,1
Republic of Serbia,1
Republic of Kosovo,1
Ana Brnabić,1
Huthion,1
Khalid bin Salman bin Abdulaziz Al Saud,1
Turkey,2
Crown Prince of Saudi Arabia,1
Mohammed bin Salman bin Abdul Aziz Al Saud,1
Amsterdam Attractions,1
Lisbon Prison Establishment,1
China Popular Republic,1
Lisbon,1
Government,1
Portuguese Institute of the Sea and the Atmosphere,1
Nicaragua,1
Ministry of Transport and Communications,1
The boy,1
Mihai I of Romania,1
Siegfried Mureşan,1
Victor Ponta,1
Eugen Teodorovici,1
The Constitutional Court of Romania,1
Liviu Dragnea,1
Chamber of Deputies of Romania,1
