keyword,count
Australia national cricket team,1
Michael Flynn,7
Earthquake,20
Brexit,11
India national cricket team,1
Robert Mueller,9
Special Counsel investigation,1
Lightning Ridge,1
Scott Morrison,1
Donald Trump,8
Cardi B,8
Priyanka Chopra,6
Offset,8
Albert Einstein,11
Nick Jonas,6
Fortnite,4
OPEC,4
Ukraine,8
5G,6
St. James Seminary Senior High School,1
National Democratic Congress,1
Shatta Wale,1
Nana Akufo-Addo,1
Secondary school,1
Ghana,1
Alban Bagbin,1
Kempinski,1
Owusu Afriyie Akoto,1
Accra,1
Manchester United F.C.,3
Academic Staff Union of Universities,1
Atiku Abubakar,1
Jamal Khashoggi,10
Muhammadu Buhari,1
Somalia,2
Nigeria,1
Pakistan,1
Imran Khan,1
Afghanistan,1
India,2
Bill Gates,1
New Zealand national cricket team,1
"Kartarpur, Pakistan",1
External debt,1
New Caledonia,8
Julius Malema,1
George H. W. Bush,7
Eskom,1
Supra Mahumapelo,1
Denel SOC Ltd,1
United States Senate,3
Koper,1
Andrej Fištravec,1
Ljubljana,1
Slovenia,1
Boris Popovich,1
Aleš Bržan,1
Financial Administration of the Republic of Slovenia,1
Maribor,1
Zoran Jankovic,1
César Pinares,1
Social and Sports Club Colo-Colo,1
Sebastián Piñera,1
The Legua,1
Nicolás Maduro,2
Raquel Argandoña,1
Osorno,1
Emmanuel Macron,2
Singapore Civil Defence Force,1
Mandarin Orchard Singapore,1
Certificate of Entitlement,1
Malaysia,3
1Malaysia Development Berhad,2
Singapore,2
Malaysian Anti-Corruption Commission,1
Jho Low,2
Theresa May,3
Ateneo de Manila University,1
Panglao Island,1
Dengvaxia controversy,1
Chief of Staff of the Armed Forces of the Philippines,1
"Sagay, Negros Occidental",1
Ateneo Blue Eagles,1
University Athletic Association of the Philippines,1
"El Nido, Palawan",1
Philippines,1
Imelda Marcos,1
Russia,12
Europe,4
Johann Rupert,1
Zimbabwe,1
Vietnam,1
Thailand national football team,1
Hanoi,1
Malaysia national football team,2
France,3
Phan Anh Minh,1
Southeast Asian Football Championship 2018,1
Ho Chi Minh City,1
Dong Nai,1
Paris,1
Angela Merkel,4
uterus,3
Saudi Arabia,6
Vienna,1
Michael Strugl,1
Michael T. Flynn,4
European Union,1
Social Democratic Party of Germany,1
Susanne Neumann,1
Friedrich Merz,1
Christian Democratic Union of Germany,1
Republican Party,1
Belgium,1
tsunami,3
Strike,1
Germany,1
Railroad Crossing,1
Work force,1
Freddie Scappaticci,2
