keyword,count
Priyanka Chopra,10
Crash Team Racing,6
Nick Jonas,10
Fortnite,6
Africa,3
Israel,11
Hezbollah,8
Apple,6
United Arab Emirates,2
Kim Kardashian,1
Michelle Obama,3
George H. W. Bush,10
Jamal Khashoggi,8
Brexit,10
Sicilian Mafia,3
Malcolm Turnbull,1
Patricia Karvelas,1
United States Senate,5
Sydney Airport,1
Theresa May,4
Toronto van attack,1
Vancouver,1
NHL,1
Russia,22
Doug Ford,1
Rodrigo Duterte,1
Social Weather Stations,1
University Athletic Association of the Philippines,1
Department of Finance,1
Philippines,1
Ateneo Blue Eagles,1
Cebu,1
Federalism,1
Mindanao,1
Pakistan,3
Christchurch,1
Dogs,1
Auckland,1
China,2
New Zealand national cricket team,1
Flutter,1
Google,1
Liverpool F.C.,3
Malaysia,3
Luka Modrić,2
Singapore,2
Jürgen Klopp,1
Inter-Services Public Relations,1
Mohammad Hafeez,1
Pakistan national cricket team,1
"Model Town, Lahore",1
Rohingya people,1
Pope Francis,1
Indonesia,1
Giant tortoise,1
Lonesome George,1
Alexandria Ocasio-Cortez,1
North Carolina,1
Costa Rica,1
Wisconsin,1
Republican Party,1
United States Congress,1
Donald Trump,2
Japan,1
Korean recruitment during Japanese rule,1
Japan-Korea Parliamentarians Association,1
City of toyama,1
Recitation,1
President of the United States of America,1
Yumiko Hara,1
France,7
temperature,1
Xu Xiaohui,1
Li Jiachao,1
He Zhiping,1
Zhu Kaidi,1
George Herbert Wacker Bush,1
New Territories Small House Policy,1
Exhibition,1
Laurent Trump,1
Hong Kong,1
David McGreavy,1
UK Independence Party,3
Nigel Farage,3
Yan Kaitai,1
Phantom 2000 Fighter,1
Ke Wenzhe,1
Yulon Motors,1
Esophageal cancer,1
Chen Wenzhao,1
Donna Trump,1
Lin Andi,1
He Ziyu,1
Nana,1
Serbia,1
Ramush Haradinaj,1
Bosko Obradovic,1
USA,5
Aleksandar Chepurin,1
Republic of Kosovo,1
Niš,1
European Union,5
Thailand national football team,1
Soc Son,1
Hai Van Tunnel,1
Malaysia national football team,1
Ministry of Education and Training,1
People&#39;s Assembly,1
Ukraine,4
Valery Simeonov,1
Ivailo Moskovski,1
Mladen Marinov,1
Sofia,1
Ministry of the Interior of Bulgaria,1
Varna,1
NATO,3
Kiril Domuschiev,1
Cosa Nostra,1
Switzerland,1
Mexico,1
EU exit from the United Kingdom,2
Rheinau ZH,1
Unconditional basic income,1
alternative for Germany,2
Hannover Central Station,1
bomb,1
Friedrich Merz,1
Christian Democratic Union of Germany,1
German politican,1
Center for Political Beauty,1
Doris of Sayn-Wittgenstein,1
Ma&#39;ruf Amin,1
PSS Sleman,1
Republic of Indonesia Corruption Eradication Commission,1
Bahar bin Smith,1
Suharto,1
Ahmad Basarah,1
Semen Padang FC,1
Corpse,1
Papua,1
Jepara Regency,1
Saad Hariri,1
Hizb allah,2
Lebanon,1
Michel Aoun,1
Massoud Barzani,1
Internal Security Forces,1
Gibran Basil,1
Anqoun,1
Kurdstan Iraq,1
Police custody in French law,1
Meeting in unknown land,1
Freebox,1
Francis Heaulme,1
Toulouse,1
Beaune,1
Barcelona,1
Manuel Valls,1
Alain Suguenot,1
UK separation from the European Union,1
Recep Tayyip Erdogan,1
Selahattin demirtaş,1
Duzce,1
CIA,1
Turkey president,1
Vladimir Putin,4
Sırrı Süreyya Önder,1
Khaled El Gendy,1
Mohammed Al-Assar,1
Administrative capital,1
Iran,2
United Nations Security Council,1
Egypt,1
Saudi,3
Ober,1
United State,1
Abid Raja,1
Trine Skei Grande,1
Ada Hegerberg,3
Bergen,1
Fredrik Solvang,1
Kristiansand,1
Mike Pompeo,1
Saltdal,1
NRK,1
Club Atlético Boca Juniors,1
Whatsapp,1
Poverty,1
Mobile phone,1
Mauricio Macri,1
Andrés Manuel López Obrador,3
Moody&#39;s,1
River Plate Athletic Club,1
Unicef,1
Argentina,1
Pontifical Catholic University of Peru,1
Alan García,1
2018 Soccer World Cup,1
Rayo Vallecano of Madrid,1
Edith Cavell,1
District of Lobitos,1
Department of Piura,1
Club Deportivo Leganés,1
Uruguay,1
Luigi Di Maio,1
Pensions,1
Giorgia Meloni,1
Matteo Salvini,1
Silvio Berlusconi,1
Armando Spataro,1
Giuseppe Conte,1
Rome,1
5 Star Movement,1
Crotone,1
Lee Hak Chan,1
Republic of Korea,1
Park-Geun-Hye,1
Kim Jong-un,1
Free korean,1
Kim Moo-sung,1
Goyang City,1
2019 College Scholastic Ability Test,1
Hong Nam-ki,1
A member of parliament in the Republic of Korea,1
Joaquín Guzmán Loera,2
Paco Ignacio Taibo II,1
school,2
Cannabis,1
Tijuana,1
Jalisco,1
Beatriz Gutiérrez Mueller,1
Culiacán,2
Fund of Economic Culture,1
Andreea Cosma,1
Tudorel Toader,1
FC Dinamo Bucharest,1
Viorica Dăncilă,1
CFR Cluj,1
Klaus Iohannis,1
Lia Olguţa Vasilescu,1
Ferdinand I of Romania,1
Romania,1
Metrorex,1
Andrej Babiš,1
Martin Půta,1
Prague,1
Morocco,3
Pilsen,1
Slovakia,2
Pavel Bělobrádek,1
Czechia,1
HC Kometa Brno,1
To whom,2
Kuwait,1
Diameter,2
Saudi Economic and Development Council,1
Custodian of the Two Holy Mosques,1
Latvian Academy of Sports Education,1
United States,1
In France,1
Latvia,1
Janis Šipkevics,1
