keyword,count
Brian O'Driscoll,1
George H. W. Bush,8
Insurance,1
Brexit,6
Munster Rugby,1
Chelsea F.C.,2
Belfast,2
Wolverhampton Wanderers F.C.,2
Johann van Graan,1
Rugby union,1
Ayo Fayose,1
Lagos State Traffic Management,1
Muhammadu Buhari,1
Diezani Alison-Madueke,1
Nigeria,2
Economic and Financial Crimes Commission,1
Boko Haram,1
Ekiti State,1
Iwagumi Hisashi,1
Yoshiji Tonoiwa,1
Yomiuri Giants,1
Juntendo University,1
Huawei,7
Korean recruitment during Japanese rule,1
Recitation,1
Softbank Group,1
South Korea,1
Japan,8
Manis,2
Perbadanan Tabung Pendidikan Tinggi Nasional,1
Port of Penang,1
Lynas,1
1Malaysia Development Berhad,2
Singapore,2
Malaysia,3
Qatar,1
Salahuddin Ayub,1
Najib Razak,1
Priyanka Chopra,7
Savitri Bai Phule,2
Mahira Khan,1
Inter-Services Public Relations,1
Bharatiya Janata Party,2
Yasir Shah,1
Iran,7
Nick Jonas,7
Shehbaz Sharif,1
Afghanistan,1
Kamala Harris,2
Toronto Raptors,1
Philadelphia 76ers,1
France,2
Qualcomm Snapdragon,1
Theresa May,2
United Kingdom,3
Australia,2
India national cricket team,1
Reserve Bank of Australia,1
Ballarat,1
Scott Morrison,1
Buninyong,1
MobiFone Telecommunications Corporation,1
Vietnam national football team,1
President of the United States,1
George HW Bush,7
3G,1
Russia,4
4G,1
Vietnam,1
Kien Giang,1
Ukraine,2
Chung Dong-young,1
Lee Young Ryeol,1
Favorable,1
Park Ji Won,1
President of the Republic of Korea,1
Kim Jong-un,1
High Young,1
Free korean,1
Park-Geun-Hye,1
Justice of the Republic of Korea,1
Baguio,1
Rodrigo Duterte,2
Foreign direct investment,1
Abu Sayyaf,1
Antonio Trillanes,1
Philippine Drug War,1
Gloria Macapagal Arroyo,1
Carlos Dominguez III,1
Sulu,1
Department of Justice,1
Luxembourg,4
Philippines,1
Paul Clement,1
Reading F.C.,1
Manchester United F.C.,1
O2,1
Travel visa,1
Andrej Babiš,1
Tehran,1
Czechia,1
Klára Dostálová,1
Liechtenstein,1
Prague,1
Road and Motorway Directorate of the Czech Republic,1
Morocco,3
Highway D3,1
The Stork Nest Case,1
Donald Trump,6
Saudi Arabia,2
North Carolina,1
Jamal Khashoggi,3
Illinois,1
Republican Party,1
"Washington, D.C.",1
Slovenia,1
Austria,1
Franc Kangler,1
Celovška cesta,1
Levica,1
Sebastian Kurz,2
Boris Popovich,1
University Clinical Center Ljubljana,1
Karl Erjavec,1
Ljubljana,1
Steinhoff International,1
South Africa national cricket team,1
Johann Rupert,1
Cricket,1
Pakistan national cricket team,1
Eskom,1
South Africa,1
Google Allo,6
Fortnite,6
Xiaomi,3
Nokia,5
India,1
Israel,9
OPEC,6
Lebanon,4
Moshe Edri,1
Tel Aviv Jaffa,1
Shaul Elovitch,1
Ezra Sheinberg,1
Hebrew University of Jerusalem,1
Benjamin Netanyahu,1
Case 4000,1
Inspector General of the Israel Police,1
Dmitry Konstantinovich Kiselyov,1
Sberbank of Russia,1
Ingushetia,1
Chechnya,1
School,1
Oil,1
Canada,2
Organization of countries - exporters of oil,1
Moscow,1
Rudolph Giuliani,2
People&#39;s Republic of China,1
Christian Democratic Union of Germany,2
Center for Political Beauty,1
Bremen,1
Friedrich Merz,2
trade dispute,1
Chemnitz,1
Navjot Singh Sidhu,1
Central investigation bureau,1
Indian Cricket Team,1
Australia national cricket team,1
Alok Kumar Verma,1
Madhuri Dixit,1
Ayodhya,1
Yogi Adityanath,1
Ali Bongo Ondimba,1
Saad Lamjarred,1
Royal Air Morocco,1
oneworld,1
Careem,1
Gabon,1
G5 Sahel,1
North Cyprus,1
Recep Tayyip Erdogan,1
Justice and Development Party,1
Sırrı Süreyya Önder,1
Council of state,1
Selahattin demirtaş,1
Turkish Armed Forces,1
Peoples&#39; Democratic Party,1
Giresun,1
Turkey president,1
Parihaka,1
City Rail Link,1
Auckland,1
Brian Tamaki,1
Whangarei,1
Santa Claus,1
Nehe Milner-Skudder,1
New Zealand,1
Trevor Mallard,1
Central European University,1
Garancsi István,1
Paks,1
Hungary,1
Gergely Gulyás,1
Budapest,1
Süli János,1
Hando Tünde,1
Zoltán Kovács,1
Earthquake,4
Hugo Chavez,2
Jair Bolsonaro,4
North Korea,1
Cabify,1
Evo Morales,1
Emmanuel Macron,2
police from Chile,1
Chile,1
Bolivia,1
Federal Office for the Protection of the Constitution and Counter-Terrorism,1
Vienna,1
Wolfgang Bowl,1
Austrian word of the year,1
Graz,1
Salzburg,1
Krampus,1
Zumi Zola,1
Bahar bin Smith,1
Prabowo Subianto,1
Candidates for civil servants,1
Joko Widodo,1
Baswedan novel,1
Hamengkubawana X,1
Corpse,1
Electronic Identity Card,1
"Sukamiskin, Arcamanik, Bandung",1
Polish Financial Supervision Authority,1
Poland,1
Lech Walesa,1
Warsaw,1
Modern,1
Henryk Jankowski,1
Tadeusz Rydzyk,1
Jaroslaw Kaczynski,1
Black Sea,2
Rome,1
Matteo Salvini,1
Democratic party,1
Armando Spataro,1
Liguria,1
Marco Minniti,1
Public minister,1
Giovanni Toti,1
Matteo Renzi,1
Diameter,3
Somalia,1
Bahrain,2
Anwar Gargash,3
Myanmar,1
Gulf Cooperation Council,2
Bangladesh,2
Air strike,1
Syria,1
Avijaa Adraei,1
Omar Karami,1
Saad Hariri,1
Hizb allah,1
United kingdom,1
Faisal Karami,1
Alexandria,1
Administrative Control Authority,1
Egypt,1
Sohag Governorate,1
Chabahar,1
The United Arab Emirates,1
Fallout 76,3
Facebook Messenger,2
Bethesda Softworks,3
U.S. congress,1
Riyadh,1
Mohammed bin Salman bin Abdul Aziz Al Saud,1
Sweden,2
Colombia,1
Nicolás Maduro,3
Cuba,1
Vladimir Putin,3
Polisario Front,1
Hezbollah,1
United Nations,1
Marcel Koller,1
Switzerland,1
FC Basel,1
Grenchen,1
worry barometer,1
Karin Keller Sutter,1
Federal Council,1
United States,1
Seri Pitsuya,1
Book,1
Free Thai Party,1
Prayer,1
Chiang Mai University,1
Thailand,1
Samut Prakarn Province,1
body,1
National Peace Corps,1
Sattahip,1
Aleksandar Vucic,1
Ivica Dacic,1
Republic of Kosovo,1
Serbia,1
Behgjet Pacoli,1
Milovan Drecun,1
Ana Brnabić,1
Zorana Mihajlović,1
Umka,1
Montenegro,1
Hussain Muhammad Ershad,1
University of Chittagong,1
Khaleda Zia,1
Narail District,1
Tamim Iqbal,1
Jatiya Party (Ershad),1
Comilla district,1
Dhaka,1
Bangladesh Election Commission,1
Claudia Sheinbaum,1
Naucalpan de Juárez,1
Monterrey Soccer Club,1
Cruz Azul Soccer Club,1
Carlos Manuel Urzúa Macías,1
Secretariat of Finance and Public Credit,1
Emilio Lozoya Austin,1
Mexico City,1
