keyword,count
Ray Moylette,1
Angela Merkel,35
The Avengers,8
Manchester United F.C.,2
Avengers: Endgame,4
Ulster Rugby,1
Munster Rugby,1
José Mourinho,2
I'm a Celebrity...Get Me Out of Here! (UK TV series),1
Avengers: Infinity War,5
Australia national rugby union team,1
Invercargill,1
Pakistan,2
Michael Cheika,1
Yemen,1
Donald Trump,21
Auckland,1
Robert Mueller,2
New Zealand,1
Stabbing,2
Rex W. Tillerson,4
Michael Cohen,10
Edmonton,1
Ontario,1
British Columbia,1
Charlottesville,4
France,4
Mississauga,1
Italy,6
Tourism,1
Singapore,2
Wan Azizah Wan Ismail,1
Malaysia,2
Perbadanan Tabung Pendidikan Tinggi Nasional,1
Accident,2
Korea Train Express,1
Turkmenistan–Afghanistan–Pakistan–India Pipeline,1
"Punjab, Pakistan",1
China–Pakistan Economic Corridor,1
India,2
Motorways of Pakistan,1
Imran Khan,1
Karachi,1
Lahore,1
Muhyiddin Yassin,1
Untitled Avengers film,4
Sammi Cheng,1
Atiku Abubakar,1
Muhammadu Buhari,1
Boko Haram,1
Ekiti State,1
"Ijora, Lagos",1
Lagos,1
"Rann, Borno",1
Nigeria,2
Enyimba International F.C.,1
Abia State,1
Australia,3
India national cricket team,1
Adani Group,2
Launceston,1
Adelaide,1
Balangiga bells,1
Rodrigo Duterte,2
Bong Revilla,1
Philippines,1
Department of Education,1
Miss Supranational 2018,1
Magnolia Hotshots,1
Philippine Basketball Association,1
School,1
Alaska Aces,1
James Comey,1
Alexandria Ocasio-Cortez,1
Jamal Khashoggi,1
Saudi Arabia,1
William P. Barr,1
Winter storm,1
Aston Villa F.C.,1
Liverpool F.C.,1
Brexit,2
United Kingdom,1
Belisario Betancur,3
Group of Lima,3
Venezuela,3
Peru,3
Nicolás Maduro,2
Hugo Chavez,1
Brazil,3
Michel Temer,2
Organization of Petroleum Exporting Countries,1
Colombia,1
Yoshiji Tonoiwa,1
Japan,1
Immigration Control and Refugee Recognition Act,1
USA,3
Korea High Speed ​​Railway,1
South Korea,1
YouTube,1
President of the United States of America,1
Chad,1
Trolley,1
G5 Sahel,1
Cable News Network,1
Morocco,1
Heather Nauert,2
la France,1
Human migration,3
Death of Nicky Verstappen,1
Christlich Demokratische Union Deutschlands,1
Annegret Kramp-Karrenbauer,8
Oostvaardersplassen,1
Nuenen,1
Project X,1
Robert Zile,1
Kekava county,1
Riga Dinamo,1
The Saeima,1
Latvia,1
German Christian Democrats Union,1
Road Safety Directorate,1
Ufa &quot;Salavat Julajev&quot;,1
Riga,1
Staffan de Mistura,1
Syria,1
Cyprus,3
Rex Tillerson,7
Sana&#39;a,3
Russia,5
United State,3
The United Arab Emirates,1
Egypt,1
College Scholastic Ability Test,1
Son Hak-gyu,1
Seoul,1
Kim Kyung Su,1
Korea High Speed ​​Rail,1
"In addition,",1
Kim Jong-un,1
Korean Army Security Command,1
Gangneung Station,1
North Korea,3
Orderud case,1
Oslo,1
VIPPS,1
Abid Raja,1
Trine Skei Grande,1
Tor Mikkel Wara,1
Norway,1
apprehension,1
Idol,1
Prabowo Subianto,1
Lindswell Kwok,1
Surabaya,1
Bahar bin Smith,1
Earthquake,1
Joko Widodo,1
Candidates for civil servants,1
Jakarta,1
Anies Baswedan,1
Indonesia,1
Slovenia,1
Christian Democratic Union,5
Levica,1
Jakov Fak,1
Aleš Bržan,1
Karl Erjavec,1
Boris Popovich,1
Nitin Gadkari,1
Central Teacher Eligibility Test,1
Robert Vadra,1
Indian Cricket Team,1
Australia national cricket team,1
Meerut,1
Surgical insemination,1
Rajasthan,1
"CTET September 0, 2018",1
exam,1
Social Democratic Party,1
Montepio Geral,1
Public administration,1
Lisbon,1
Portugal,1
Football Club of Porto,1
Government,1
Christian-Democratic Union,3
Federal Council,1
European Union,3
Switzerland,1
Department of State of the United States,3
Christian Democratic Union of Germany,4
Lingen (Ems),1
Mars,9
InSight,2
birth control pills,1
1. FC Cologne,1
Saudi,1
Israel,3
Lebanon,2
Saad Hariri,2
Hizb allah,2
Platoon,6
Far side of the Moon,6
Samsung Galaxy,2
Apple,6
Moon,8
Samsung Group,2
China,4
Arlanda,1
Malmo,1
Paris,2
Germany,3
Linkoping,1
CDU,1
Shmuel Plato-Sharon,1
Naftali Bennett,1
Sarah Netanyahu,1
Hamas,1
Benjamin Netanyahu,1
Rex Tilerson,1
Institute for Intelligence and Special Functions,1
Vladimir Putin,2
Isaac Dogboe,1
Edgar Lungu,2
Wizkid,1
Juventus F.C.,1
Inter Milan,1
Zambia,2
María Guadalupe González,1
Cruz Azul Soccer Club,1
Andrés Manuel López Obrador,1
Monterrey Soccer Club,1
Coagulation,1
Veracruz,1
POT,1
Tlaquepaque,1
Vladimir Vladimirovich Putin,1
Petr Poroshenko Alekseevich,1
Lithuania,2
Ukraine,3
Ekaterina Tikhonova,1
Organization for Security and Cooperation in Europe,1
Red caviar,1
NASA,2
Ciccone Case,1
Athletic Club Newell&#39;s Old Boys,1
Club Atlético Rosario Central,1
Club Atlético Boca Juniors,1
Ricardo Echegaray,1
Gerardo Morales,1
Argentina Soccer Cup,1
Mirtha Legrand,1
River Plate Athletic Club,1
Luiz Fernando Pezão,1
Luiz Inácio Lula da Silva,1
More Doctors,1
Roraima,1
Ricardo Lewandowski,1
Joice Hasselmann,1
Flávio Bolsonaro,1
Jair Bolsonaro,2
Sérgio Moro,1
Lushali,1
Sudarat Keyura,1
Thailand,1
Party for Thailand,1
Fire,1
amphetamine,1
Meteorological Department,1
a cat,1
Prayer,1
Southern,1
Laurent Trump,1
Zhu Kaidi,1
Xu Xiaohui,1
Lin Zhengyue,1
Lin Zhuo Ting,1
Meng Zhouzhou,1
Yin Zhaojian,1
German Christian Democratic Union,1
