keyword,count
Brexit,16
Jamal Khashoggi,11
United States Senate,4
Sydney,1
Central Intelligence Agency,2
Stillbirth,1
Theresa May,5
Malcolm Turnbull,1
Research,1
Gina Haspel,1
People's Democratic Party,1
Rochas Okorocha,1
All Progressives Congress,1
Academic Staff Union of Universities,1
Small Doctor,1
Diezani Alison-Madueke,1
Yemi Osinbajo,1
Atiku Abubakar,1
Muhammadu Buhari,1
Economic and Financial Crimes Commission,1
Donald Trump,7
Vancouver,1
NHL,1
Mission,1
Costa Rica,3
Subpoena,1
British Columbia,1
Belfast,2
I'm a Celebrity...Get Me Out of Here! (UK TV series),1
"Catherine, Duchess of Cambridge",2
Manchester City F.C.,10
Brighton & Hove Albion F.C.,1
Crystal Palace F.C.,1
Ninoy Aquino International Airport,1
George H. W. Bush,4
United Arab Emirates,3
Rodrigo Duterte,2
University Athletic Association of the Philippines,1
Philippines,1
Philippines men's national basketball team,1
Ateneo Blue Eagles,1
Mindanao,1
UP Fighting Maroons,1
Mycoplasma bovis,1
Priyanka Chopra,8
Nick Jonas,8
Jacinda Ardern,2
North Korea,2
Christchurch,1
Kim Jong-un,2
Manchester United F.C.,3
Rohingya people,1
Pope Francis,1
Liverpool F.C.,2
Singapore,1
Malaysia,2
Indonesia,1
José Mourinho,2
Jair Bolsonaro,2
Panama Papers,1
Brazil,1
Stock,1
Andrej Babiš,1
D35 motorway,1
Czechia,1
Morocco,3
Martin Půta,1
Pilsen,1
Prague,1
Russia,18
Pavel Bělobrádek,1
Tomio Okamura,1
Ryota Murata,1
Osaka capital concept,1
Carlos Ghosn,1
Korean recruitment during Japanese rule,1
Referendum,1
Osaka,1
Recitation,1
Yumiko Hara,1
France,8
Mayor of Osaka,1
Robert Mueller,1
Alexandria Ocasio-Cortez,1
Michael Flynn,1
North Carolina,1
Republican Party,1
Wisconsin,1
Special Counsel investigation,1
Ali Bongo Ondimba,1
South Africa,2
Nigeria,2
Gabon,1
Yemen,4
Leasing,1
Strike,1
Western Sahara,2
Giant panda,1
Private Enterprise,1
Shanghai,1
Fentanyl,1
Portugal,2
Hong Kong,1
Xi Jinping,1
People&#39;s Republic,1
High,1
István Tarlós,1
Central European University,1
Batthyány Square,1
Denmark,3
Brexin,1
Austria,1
United Kingdom,6
Hungary,1
Budapest,1
Szeged,1
Trine Skei Grande,1
Abid Raja,1
Metkel N. Betew,1
Fredrik Solvang,1
US Senate,2
Bergen,1
Saudi Arabia,2
NRK,1
Saltdal,1
Left,1
Julius Malema,2
"Meghan, Duchess of Sussex",2
Economic Freedom Fighters,2
National Prosecuting Authority,1
Fallout 76,2
Fortnite,6
Microsoft Corporation,4
French fries,5
Kenya,2
5G,6
Lee Hak Chan,1
Republic of Korea,1
Gyeongui Line,1
Park-Geun-Hye,1
Panmunjom,1
Free korean,1
Kim Moo-sung,1
2019 College Scholastic Ability Test,1
Latvian Academy of Sports Education,1
Latvia,1
Jelgava,1
In France,1
United States,1
Krisjana Barona Street,1
Riga,1
Southern Bridge,1
Adazi,1
Sports Club Catholic University,1
Archdiocese of Santiago de Chile,1
Bonus,1
Fernando Karadima,1
Investigation Police of Chile,1
Alberto Bachelet,1
Temuco,1
Michelle Bachelet,1
Sebastián Piñera,1
Christian Democratic Party,1
Party for the Independence of the United Kingdom,1
Nigel Farage,4
High School in France,1
Hezbollah,1
Belgium,1
Israel,6
Bouli Lanners,1
Lebanon,3
Mordechai Alon,1
Meirav Lapidot,1
Coffee Joe,1
Zvika Pick,1
Daniella Pick,1
Tel Aviv Jaffa,1
Quentin Tarantino,1
The United Kingdom&#39;s retirement from the European Union,1
Group of 20,1
Vaca Muerta oil field,1
Club Atlético Boca Juniors,2
Poverty,1
YPF,1
Mauricio Macri,1
Argentina,1
River Plate Athletic Club,1
Unicef,1
Patricia Bullrich,1
Iran,2
Asad Umar,1
Pakistan national cricket team,1
Pakistan,1
Gautam Gambhir,1
Uma Bharti,1
Central Teacher Eligibility Test,1
India,2
GSAT-11,1
Youtube,1
Lok Sabha,1
pay commission,1
Bulandshahr,1
Prashant kishor,1
Slovenia,1
Andrej Fištravec,1
Koper,1
Aleš Bržan,1
Pliberk,1
Europe,2
Boris Popovich,1
Italy,1
Sicily,1
Michel Aoun,1
Hizb allah,3
Benjamin Netanyahu,1
Saudi,4
Lebanese army,1
Khalid bin Salman bin Abdulaziz Al Saud,1
Massoud Barzani,1
Jaroslaw Kaczynski,1
Arnold Schwarzenegger,1
Tadeusz Rydzyk,1
Lech Walesa,1
Henryk Jankowski,1
George HW Bush,2
Warsaw,1
Andrzej Duda,1
Law and Justice,1
His Majesty King Bhumibol Adulyadej Brunei,1
.,1
Party for Thailand,1
National Legislature,1
Thailand,1
Prayer,1
grandchild,1
Department of Special Investigation,1
Meteorological Department,1
Bangkok,1
Hussain Muhammad Ershad,1
Khaleda Zia,1
Obaidul Quader,1
Bangladesh Nationalist Party,1
Bangladesh Chhatra League,1
Kamal Hossain,1
Bangladesh Awami League,1
Jatiya Party (Ershad),1
Dr.,1
University of Chittagong,1
Manchester City Football Club,1
Thailand national football team,1
Watford Football Club,1
Vietnam,1
East Sea,1
Malaysia national football team,1
Ministry of Education and Training,1
China,1
People&#39;s Assembly,1
Departure from the United Kingdom of the European Union,2
Lisbon Prison Establishment,1
Regulatory Entity for Social Communication,1
Lisbon,1
Radio and Television of Portugal,1
China Popular Republic,1
Information,1
Francis Heaulme,1
LOSC Lille Association,1
Manuel Valls,1
Toulouse,1
Marseilles,1
Police custody in French law,1
Beaune,1
Alain Suguenot,1
Pontifical Catholic University of Peru,1
The Bombonera,1
2018 Soccer World Cup,1
Alan García,1
Edith Cavell,1
District of Lobitos,1
Department of Piura,1
Recep Tayyip Erdogan,1
Selahattin demirtaş,1
UK separation from the European Union,1
Train,1
Republican People&#39;s Party,1
Selman bin Abdulaziz al-Saud,1
Turkey president,1
Yan Kaitai,1
Phantom 2000 Fighter,1
Democratic Progressive Party,1
Tsai English,1
Esophageal cancer,1
Yulon Motors,1
Donna Trump,1
He Ziyu,1
Dow Jones Industrial Average,1
China Nationalist Party,1
Makkah,1
Saudi Economic and Development Council,1
Wiam Wahhab,1
U.S. congress,2
Luiz Inácio Lula da Silva,1
Luiz Fernando Pezão,1
National Common Curricular Base,1
school,1
National Council of Education,1
Maranhão,1
Conflict between Brazilian criminal factions of 2016-2017,1
More Doctors,1
Legislative Assembly of the State of Rio de Janeiro,1
Oss,1
Utrecht,1
North Atlantic Treaty Organization,1
Charles Michel,1
Thierry Baudet,1
Africa,1
Margaret Wanjiru Gakuo,2
Andreea Cosma,1
Laura Codruţa Kövesi,1
