keyword,count
Dylan Walker,1
Australia national cricket team,2
Donald Trump,7
IOOF,1
Heather Nauert,5
India national cricket team,1
United States Ambassador to the United Nations,4
Manly Warringah Sea Eagles,1
Australian Prudential Regulation Authority,1
Little River,1
Mandarin Orchard Singapore,1
George H. W. Bush,5
North Korea,1
Climate change,1
Singapore,2
McDonald's,1
1Malaysia Development Berhad scandal,1
Jho Low,1
Malaysia,2
Australia,1
First Ministers' conference,1
Carbon monoxide poisoning,1
Oshawa,1
Student,2
Alberta,1
Doug Ford,1
Ontario,1
Club Atlético Rosario Central,2
Argentina Soccer Cup,2
Chamber of Deputies of the Argentine Nation,1
Gymnastics and Fencing Club La Plata,2
Patricia Bullrich,1
Elisa Carrió,1
Criminal Procedural Law,1
Paraná,1
rosary beads,1
school,1
The Stanley Parable,6
Brexit,7
Supergiant Games,5
Nintendo Switch,6
Marvel Ultimate Alliance 2,6
Ukraine,12
Hamas,12
China,6
Russia,12
United Kingdom,7
Vietnam national football team,1
France,6
President of the United States,1
Huawei,4
George HW Bush,6
Ministry of Education and Training,1
Vietnam,1
Southeast Asian Football Championship 2018,1
Navjot Singh Sidhu,1
Upendra Kushwaha,1
Indian Cricket Team,1
Central investigation bureau,1
Indian national congress,1
Alok Kumar Verma,1
Sharad Yadav,1
Pakistan,3
Bulandshahr,1
Bong Revilla,1
Antonio Trillanes,1
Abu Sayyaf,1
International Criminal Court,1
Maria Ressa,1
Logistics,1
Philippines,1
Banana,1
Emmanuel Piñol,1
Abdul Rasul Sayyaf,1
Yoshiji Tonoiwa,1
Nissan Motor,1
M-1 Grand Prix,1
Takashi Okamura,1
Otsuka Furniture,1
Emiko Uenuma,1
Softbank Group,1
Technical intern training,1
Water supply law,1
College,1
North Carolina,1
Tennessee,1
Republican Party,1
Scott Walker,1
Federal Board of Revenue,1
Fayyaz ul Hassan Chohan,1
Pakistan Muslim League,1
Afghanistan,1
Azam Khan Swati,1
China–Pakistan Economic Corridor,1
Inter-Services Public Relations,1
Imran Khan,1
Samar Mubarakmand,1
Lynas,1
Earthquake,2
Salahuddin Ayub,1
New Caledonia,1
Poland,1
Remand,1
Northern Limit Line,1
Organic animal,1
Korea National Assembly,1
Seoul,1
President of the Republic of Korea,1
Kim Jong-un,1
Son Hak-gyu,1
Deoksugung Palace,1
The,1
"In addition,",1
University of Otago,1
Dolphin,1
School,3
Air New Zealand,1
Brown marmorated stink bug,1
Graeme Hart,1
CTV Building,1
New Zealand,1
Engineering New Zealand,1
Auckland,1
Rolandas Paksas,1
Kaunas Zalgiris,1
Eligijus Masiulis,1
Klaipeda,1
Vilnius,1
Artūras Zuokas,1
Lithuania,1
Kęstutis Navickas,1
Andrius Tapinas,1
Pirate Olympiacos,1
Isabella Löwengrip,1
Moderates,1
The Christian Democrats,1
Frölunda HC,1
Emmanuel Macron,2
Stefan Löfven,1
E22,1
Sweden Democrats,1
The Center Party,1
Andrés Manuel López Obrador,1
Gulf Cartel,1
Mexico City International Airport,1
Preventive prison,1
Murder of Luis Donaldo Colosio Murrieta,1
Brunette,1
Secretary of Public Education,1
Esteban Moctezuma,1
Alfonso Durazo Montaño,1
Money laundering,1
Niu Chengze,1
Tu Xingzhe,1
Korean Yu,1
Ke Wenzhe,1
Lai Qingde,1
National Taiwan University,1
Heavy snow,2
The selection of the president of the National Taiwan University in 2018,1
National Zhongshan Institute of Science,1
Huang Minhui,1
George Bush the Father,3
The United Arab Emirates,3
the coast,3
European Union,2
Israel,3
United State,2
United Nations Interim Force in Lebanon,1
Blue Line,1
The Curse of Curiosity,1
Yingluck Shinawatra,1
Thailand,1
Democrat Party,1
Prayer,1
amphetamine,1
Chiang Rai province,1
National Peace Corps,1
Abhisit Vejjajiva,1
Paris,4
Franc Kangler,1
White Church,1
Slovenia,1
Roman Leljak,1
Levica,1
Celovška cesta,1
Karl Erjavec,1
Aleš Bržan,1
Boris Popovich,1
Prime Minister of the Republic of Slovenia,1
Benoît Hamon,1
Aquarius,4
SOS Mediterranean,2
Daval case,1
Gérald Darmanin,1
United Nations Organization,2
Mantes la Jolie,2
European elections of 2019 in France,1
Love Island,2
Liverpool F.C.,3
Danny Dyer,2
I'm a Celebrity...Get Me Out of Here! (UK TV series),2
Manchester United F.C.,5
Arsenal F.C.,5
Labor market,1
Iran,3
Ivory Coast,1
Morocco,2
International University of Rabat,1
Compensation fund,1
Félix Houphouët-Boigny,1
G5 Sahel,2
Trolley,1
El Jadida,1
PFC Ludogorets 1945,1
PFC CSKA,1
Bulgarian State Railways,1
Nikolay Banev,1
Cornelia Ninova,1
Party of European Socialists,1
First Professional Football League,1
Sergey Stanishev,1
Poltorak Stepan Timofeevich,1
State Administration of Railway Transport of Ukraine,1
Ukrainian Insurgent Army,1
Naval Forces of the Armed Forces of Ukraine,1
Kerch Strait,1
Kiev,1
Ukrainian Orthodox Church (Moscow Patriarchate),1
Syria,1
Walid Jumblatt,1
Fouad Makhzoumi,1
Libya,1
U.S. congress,2
Jamal Khashoggi,2
Mohammed bin Salman bin Abdul Aziz Al Saud,2
Lebanon,2
Andrej Babiš,1
Miloš Zeman,1
Skoda car,1
USA,4
Klára Dostálová,1
HC Kometa Brno,1
Security Information Service,1
Jaroslav Kuber,1
Martin Erat,1
LATAM Airlines,1
Professional,1
National Television of Chile,1
Rodrigo Duterte,2
Jair Bolsonaro,1
Strike,1
Jaime de Aguirre,1
Mulla Krekar,1
Abid Raja,1
Trine Skei Grande,1
Norway,1
Justice Minister,1
Police Security Service,1
Tor Mikkel Wara,1
Left,1
Police and Lecturer&#39;s Office,1
Feyenoord,1
Lingen (Ems),2
Frenkie de Jong,1
VVV Venlo,1
Oostvaardersplassen,1
Rotterdam,1
Paris Saint-Germain,1
AFC Ajax,1
Project X,1
To whom,1
Huthion,1
Gulf Cooperation Council,1
Riyadh,1
keel,1
Stefanie Tücking,1
Union parties,1
Christian Democratic Union of Germany,3
Berlin,1
Center for Political Beauty,1
Krauss-Maffei,1
Jens-Holger Kirchner,1
Robert Kaliňák,1
Bratislava,1
jarovce,1
Robert Fico,1
Pavol Russia,1
National Bank of Slovakia,1
toll,1
Speedway R2,1
Slovakia,1
partisan,1
Hussain Muhammad Ershad,1
Bangladesh Chhatra League,1
Khaleda Zia,1
Sheikh Hasina,1
Rangpur-6,1
Chuadanga district,1
Jatiya Party (Ershad),1
Rangpur district,1
Mirza Fakhrul Islam Alamgir,1
Comilla district,1
Huang Ziheng,1
Hong Kong Section of Guangzhou-Shenzhen-Hong Kong Express Rail Link,1
Mandatory Provident Fund,1
File method,1
Luxembourg,1
Sino-US trade dispute in 2018,1
Hong Kong,1
Ain-Shams University,1
Mourtada Mansour,1
Sayed Abdel Hafeez,1
Egypt,1
Zamalek Club,1
Jorge Glas,1
Dominican Republic,1
Cuba,1
Hugo Chavez,4
Iván Duque Márquez,2
tourism,1
National Liberation Army,1
Nicolás Rodríguez Bautista,1
Zumi Zola,1
Bahar bin Smith,1
Ma&#39;ruf Amin,1
Prabowo Subianto,1
Bogor,1
Indonesian national army,1
Electronic Identity Card,1
Tornado,1
Lebak Regency,1
Heather Lauert,2
Social Democratic Party of Switzerland,1
Rudolph Giuliani,1
Switzerland,1
Zurich,1
Kosovo,1
Serbia,2
Sebastian Kurz,1
Frontex,1
Vienna,1
AirPower,1
Calin Popescu-Tariceanu,1
Superior Council of Magistracy,1
Klaus Iohannis,1
Romania,1
Viorica Dăncilă,1
CS Concordia Chiajna,1
CS University of Craiova,1
The Senate of Romania,1
High Court of Cassation and Justice,1
magnitude,1
The Game Awards,1
Belisario Betancur,3
Luis Almagro,1
Metro of Caracas,1
San Luis Potosi,1
Nicolás Maduro,1
Hallaca,1
Venezuela,4
Vladimir Putin,1
Cork,1
Jawad Bendaoud,1
Zhang Shouyi,1
Li Keqiang,1
Justin Trudeau,1
Quantum computer,1
Yangcheng Lake hairy crabs,1
railway,1
Meng Zhouzhou,1
Yangcheng Lake,1
Quantum mechanics,1
Ivica Dacic,1
Aleksandar Vucic,1
Central European Free Trade Agreement,1
Opposition,1
Republic of Kosovo,1
Kosovo Liberation Army,1
Pristina,1
Gustavo Petro,1
Special Jurisdiction of Peace,1
Vicente Torrijos,1
Technology of the information and communication,1
Colombia,2
Colombian Revolutionary Armed Forces,1
Hungarian scientific Academy,1
László Palkovics,1
Hungary,1
Hungarian Institute of Paris,1
Széll Kálmán square,1
Leicester City FC,1
chicken Head,1
Economic Competition Office,1
Cyprus,1
Panos Kammenos,1
Exarchia,1
Thiseio,1
New Democracy,1
Corfu,1
Dora Bakoyannis,1
Hellas,1
Lefkimmi,1
Donald trump,1
Alexander Nikolaevich Sokurov,1
Stepan Timofeevich Poltorak,1
Spitak earthquake,1
Armenia,1
Oil,1
Yemen,1
Club Alianza Lima,1
Foot Ball Club Melgar,1
National Superintendency of Customs and Tax Administration,1
Peruvian Football Federation,1
Edwin Oviedo Picchotito,1
Nicaragua,1
Lisbon,1
Organization for Economic Co-operation and Development,1
Manuel Pinho,1
Portuguese language,1
Socialist party,1
Privacy Policy,1
Departure from the United Kingdom of the European Union,1
Uhuru Kenyatta,1
