keyword,count
Super Smash Bros. Ultimate,5
Donald Trump,13
Carbon monoxide poisoning,1
Brexit,7
Heather Nauert,3
United States Ambassador to the United Nations,3
CNN,3
British Columbia,1
École Polytechnique massacre,1
United Kingdom,3
Malaysia,4
Build to order,1
Kuala Lumpur,2
Housing and Development Board,1
Singapore,2
Mahathir Bin Mohamad,3
Myanmar,1
International Convention on the Elimination of All Forms of Racial Discrimination,2
Burmese kyat,1
Angela Merkel,19
Stefanie Tücking,1
George HW Bush,3
Christian Democratic Union of Germany,4
Lingen (Ems),1
Krauss-Maffei,1
Electric chair,2
Small gun license,1
fuel plant,1
Kim Moo-sung,1
Woo Sung Woo,1
Son Hak-gyu,1
President of the Republic of Korea,1
Kim Jong-un,1
Kim Kyung Su,1
"In addition,",1
Free korean,1
Korean Army Security Command,1
North Korea,3
Jim McGuinness,1
Arsenal F.C.,3
University College Dublin,1
Kevin Hart,6
Student,1
Academy Awards,6
Manchester United F.C.,2
Dublin,1
Mount Maunganui,1
Auckland,1
School,2
Pakistan national cricket team,2
Dolphin,1
New Zealand national cricket team,2
Rarotonga,1
Kane Williamson,2
New Zealand,1
Paragliding,1
National Anti-Corruption Commission,1
National Peace Corps,1
Wissanu Krea Ngam,1
Sombat Boonnganong,1
Pravit Wongsuwan,1
amphetamine,1
Thailand,1
Seri Pitsuya,1
Prayer,1
Addictive substance,1
Yoshiji Tonoiwa,1
Heather · Nawart,1
Lewis Valenchena,1
USA,2
Emiko Uenuma,1
MOFA,1
M-1 Grand Prix,1
Jose Castillo,1
Glory seminar,1
Perbadanan Tabung Pendidikan Tinggi Nasional,1
Nazrin Shah of Perak,1
Human Rights Commission of Malaysia,1
Malays,1
Hannah Yeoh,1
Mohammad Amir,1
Pakistan,1
Shahpurkandi dam project,1
Ukraine,9
Russia,5
Ravi River,1
Beijing University,1
Zhang Shouyi,2
Cold wave,1
Shanghai,1
Preschool education,1
嫦娥4,1
Moon,1
People&#39;s Republic,1
Greenland Holdings Group,1
People&#39;s Republic of China Ministry of Commerce,1
Rodrigo Duterte,3
Land Transportation Franchising and Regulatory Board,1
Bong Revilla,1
Antonio Trillanes,1
National Democratic Front of the Philippines,1
Davao,1
Maria Ressa,1
Philippines,1
Professional Regulation Commission,1
Test,1
Australia national cricket team,2
India national cricket team,1
Little River,1
PlayerUnknown's Battlegrounds,6
Zimbabwe,1
Samsung Galaxy,5
Samsung Group,5
India,2
Hamas,10
Germany,8
UK Independence Party,1
Jeremy Corbyn,1
Oxbridge,1
Theresa May,1
Philomena Mbete Mwilu,1
National Hospital Insurance Fund,1
Uhuru Kenyatta,1
Kenya Pipeline Company,2
Diamond Platnumz,1
Raila Odinga,1
Commercial Bank of Africa,1
Kenya,1
NIC Bank,1
Luis Moreno Ocampo,1
Israel,3
Julian Assange,1
United States,1
Cyprus,1
Slovenia,1
Christian Democratic Union,3
Ecuador,1
Aleš Bržan,1
Boris Popovich,1
Michael Flynn,1
Tennessee,1
Robert Mueller,1
Scott Walker,1
Saudi,2
Alwaleed bin Talal bin Abdulaziz Al Saud,1
Gulf Cooperation Council,2
Iran,2
Vladimir Putin,5
Abdul Latif bin Rashid Al Zayani,2
United State,4
the coast,2
Saud Al-Qahtani,1
Orlando Pirates,1
South African Broadcasting Corporation,1
Baroka F.C.,1
Eskom,1
France,6
Accident,2
Telkom Knockout,1
Shmuel Plato-Sharon,1
Naftali Bennett,1
Sarah Netanyahu,1
Benjamin Netanyahu,1
Lebanon,3
Hezbollah,1
Blade 433,1
Rwanda,1
Nana Akufo-Addo,1
Shatta Wale,1
Mahamudu Bawumia,1
Diane Rwigara,1
Ghana,1
Christmas Day,1
Ethiopia,1
Danang,1
Vietnam national football team,1
Hai Phong,1
Ho Chi Minh City,1
President of the United States,1
Hanoi,1
Vietnam,1
Viet A Commercial Joint Stock Bank,1
Czechia,1
Miloš Zeman,1
Security Information Service,1
Andrej Babiš,1
Prague,1
General Inspectorate of Security Corps,1
Montenegro,1
The Stork Nest Case,1
Brno,1
Gibran Basil,1
Hizb allah,2
Kesserwan district,1
Saad Hariri,1
Michel Aoun,1
Byblos,1
Middle east,1
Nitin Gadkari,1
Vijay Mallya,1
Indian Cricket Team,1
Patanjali Ayurveda,1
National pension system,1
Government,2
Bharatiya Janata Party,1
Ramdev,1
Bulandshahr,1
Mortal Kombat,2
Epic Games,2
Burundi,1
Taoufik Bouachrine,1
Saad Lamjarred,1
Morocco,1
Human rights,2
G5 Sahel,1
Huawei,1
Japan,3
Human migration,2
Western Sahara,1
ZTE,1
Berat Albayrak,1
Recep Tayyip Erdogan,1
Feto / PCM,1
Fuat Oktay,1
vice-president of Turkey,1
Contact Ruhsar directly,1
Contact Mustafa directly,1
View Kemal&#39;s Full Profile,1
President of the Turkish Republic of Northern Cyprus,1
Asi River,1
Swiss Holiday Park,1
Switzerland,1
Aquarius,4
FC Basel,1
Marcel Koller,1
Heather Lauert,1
Federal Council,1
Swiss travel fund,1
Bangladesh Chhatra League,1
Ganobhaban,1
Grand alliance,1
Bangladesh Awami League,1
